Title,Author,Year,Subjects
Accentonprivilege:English identitiesandanglophiliainthe U,,2001,"['S./ 2001. British Americans--Ethnic identity.', 'British Americans--Raceidentity.', 'British Americans--Socialconditions.', 'United States--Ethnicrelations.', 'United States--Racerelations.', 'National Katharine W.Jones. characteristics, British.', 'Great Britain--Foreignpublic opinion,American.', 'Racism--United States.', 'Socialstatus--United States.', 'Sexrole--United States.']"
Theracialmiddle:Latinosand Asian Americans livingbeyondthe c 2008,,,"['Hispanic Americans--Ethnic identity.', 'Hispanic Americans--Attitudes.', 'Asian Americans--Ethnicidentity.', 'Asian Americans--Attitudes.', 'Racism--United States--Publicopinion.', ""Public racial divide/Eileen O'Brien. opinion--United States."", 'United States--Racerelations.']"
Racialjusticein America: areferencehandbook,David B,2003,"['African Americans--Civilrights--History--Handbooks,manuals,etc.', 'Racism--United States--History--Handbooks, manuals, etc.', 'African Americans--Civilrights--Handbooks,manuals, etc.', 'Mustard. Racediscrimination--United States--Handbooks,manuals, etc.', 'United States--Racerelations--Handbooks,manuals,etc. |102 Blackbodies,whitegazes:thecontinuingsignificanceofracein [2017] African Americans.', 'Racism--United States.', 'United States--Racerelations. America/George Yancy.']"
Whiterage:theunspokentruth ofourracialdivide,Carol 2016,,"['African Americans--Civilrights--History.', 'African Americans--Politicsandgovernment.', 'African Americans--Socialconditions.', 'Whites--United States--Attitudes--History.', 'Whites--United Anderson. States--Politicsand government.', 'Opposition(Politicalscience)--United States--History.', 'Racism--United States--History.', 'United States--Racerelations--History.']"
Racialinnocence:performing Americanchildhoodfromslaveryto c 2011 United States--Racerelations,,,"['Slavery--United States--History.', 'Racisminliterature.', 'Childreninliterature.', 'United States--Civilization. civilrights/Robin Bernstein.']"
The Americannon-dilemma:racialinequalitywithoutracism,[2013] African Americans--Civilrights,2025,"['African Americans--Economicconditions.', 'Equality--United States.', 'United States--Racerelations.', 'Racism--United States. Nancy Di Tomaso. Page 5 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
"Iamaman!: race,manhood, andthecivilrightsmovement",Steve c 2005,,"['African Americans--Civilrights--History--20 thcentury.', 'Civilrightsmovements--United States--History--20 thcentury.', 'African American civilrightsworkers--Attitudes--History--20 th Estes. century.', 'African Americanmen--Attitudes--History--20 thcentury.', 'Rhetoric--Politicalaspects--History--United States--20 thcentury.', 'Masculinity--Politicalaspects--History--United States-- 20 thcentury.', 'Sexrole--Politicalaspects--History--United States--20 thcentury.', 'Sexism--United States--History--20 thcentury.', 'Racism--United States--History--20 thcentury.', 'United States-- Racerelations.']"
Stampedfromthebeginning:thedefinitivehistoryofracistideas [2016] |Racism--United States--History,,,['United States--Racerelations. in America/Ibram X.Kendi.']
Blackisacountry:raceandtheunfinishedstrugglefordemocracy 2004,,,"['African Americans--Civilrights--History--20 thcentury.', 'African Americans--Politicsandgovernment--20 thcentury.', 'Democracy--United States--History--20 thcentury.', 'Racism--Political /Nikhil Pal Singh. aspects--History--United States--20 thcentury.', 'United States--Politicsandgovernment--20 thcentury.', 'United States--Racerelations--Politicalaspects.']"
Jim Crow'slegacy:the lastingimpactofsegregation,Ruth [2015] African Americans--Segregation--History,,"['United States--Racerelations--History.', 'Whites--United States--Attitudes.', 'African Americans--Civilrights--History.', 'Racism--United States-- Thompson-Miller, Joe R.Feagin, and Leslie H. Picca. History.']"
Theracialglass ceiling:subordinationin Americanlawand ©2017,,,"['African Americans--Socialconditions.', 'African Americans--Civilrights--History.', 'Racediscrimination--United States--History.', 'United States--Racerelations--History.', 'Racism--United States- culture Roy L. Brooks. -History.']"
Racialstasis:themillennial generation andthestagnation ofracial 2020,,,"['Racism--United States.', 'Discrimination--United States.', 'United States--Ethnicrelations. attitudes in Americanpolitics/Christopher D.De Santeand Candis Watts Smith.']"
Tearswecannotstop :asermontowhite America,Michael Eric 2017,,"['|United States--Racerelations--20 thcentury.', 'United States--Racerelations--21 stcentury.', 'Racism--United States--History--20 thcentury.', 'Racism--United States--History--21 stcentury.', 'Race Dyson. discrimination--United States--History--20 thcentury.', 'Racediscrimination--United States--History--21 stcentury.', 'Racerelations--Religiousaspects--Christianity.']"
Everythingbuttheburden:whatwhitepeoplearetakingfrom 2003,,1975,"['United States--Racerelations.', 'African Americans--Social conditions--1975-', 'African Americans--Intellectuallife.', 'Whites--United States--Attitudes.', 'Cultureconflict--United States.', 'Racism-- |Blackculture/editedby Greg Tate. United States.', 'United States--Civilization--African Americaninfluences.']"
"Racist America: roots,currentrealities, and future reparations",by 2014,1975,"['African Americans--Civilrights.', 'African Americans--Socialconditions--1975-', 'Racism--United States.', 'Race discrimination.', 'United States--Racerelations.', 'African Americans--Reparations. Joe R. Feagin.']"
Whiteracism :thebasics,Joe R,1995,"['Feagin,Hernán Vera. 1995. Racism--United States.', 'United States--Racerelations.']"
Thefirethistime:anewgenerationspeaks aboutrace,editedby 2016,,"['African Americans--Socialconditions--21 stcentury.', 'Blacks--Raceidentity.', 'Racism--United States.', 'African Americansinliterature.', 'African Americans inpopularculture.', 'American Jesmyn Ward. literature--African Americanauthors--Historyandcriticism.', 'United States--Racerelations--21 stcentury.']"
Democracyin Black:How Race Still Enslavesthe American Soul [2016] African Americans--Socialconditions--21 stcentury,,,"['African Americans--Economicconditions--21 stcentury.', 'Racism--United States--History--21 stcentury.', 'Racediscrimination--United /Eddie S.Glaude,Jr. States--History--21 stcentury.', 'United States--Racerelations--21 stcentury.']"
"Twonations:blackandwhite,separate, hostile,unequal",Andrew c 1992,1975,"['Racism--United States.', 'African Americans--Socialconditions--1975-', 'United States--Racerelations. Hacker.']"
Dogwhistlepolitics:howcodedracialappealshavereinvented [2014] Racism--Politicalaspects--History--United States--20 thcentury,,1945,"['United States--Racerelations--Politicalaspects--History--20 thcentury.', 'Racism--Politicalaspects--History--United States-- racism andwreckedthemiddle class /Ian Haney López. 21 stcentury.', 'United States--Racerelations--Political aspects--History--21 stcentury.', 'Communicationinpolitics--United States--History--20 thcentury.', 'Communicationin politics--United States--History--21 stcentury.', 'United States--Politics andgovernment--1945-1989.', 'United States--Politicsandgovernment--1989-', 'Post-racialism--United States--History.']"
Whatcanyou say?:America'snationalconversationonrace,John c 2010,,"['United States--Racerelations.', 'Racism--United States.', 'Post-racialism--United States.', 'Communicationandculture--United States.', 'United States--Racerelations--Presscoverage. Hartigan Jr.']"
Theharvestof Americanracism:thepolitical meaningofviolence [2018] United States,,1967,"['--National Advisory Commissionon Civil Disorders.--Report.', 'United States.--National Advisory Commission on Civil Disorders--History.', 'Racism--Politicalaspects--United inthesummerof 1967/editedby Robert Shellow', 'witha States.', 'Raceriots--Politicalaspects--United States.', 'Politicalviolence--United States.', 'African Americans--Socialconditions--1964-1975.', 'African Americans--Governmentpolicy--History-- forewordby Michael C.Dawson. 20 thcentury.', 'Governmentalinvestigations--United States--History--20 thcentury.', 'Innercities--United States--Casestudies.', 'Riots--United States--20 thcentury--Casestudies.']"
Themakingof Blacklivesmatter:abriefhistoryofanidea,[2017] Blacklivesmattermovement,,"['African Americans--Socialconditions--21 stcentury.', 'African Americans--Politicsandgovernment--21 stcentury.', 'Equality--United States.', 'Racism--United Christopher J.Lebron. States.', 'United States--Racerelations.']"
Howracismtakesplace,George Lipsitz,2011,"['United States--Racerelations.', 'United States--Socialconditions.', 'Racism--Economicaspects--United States.', 'Incomedistribution--United States.', 'African Americans--Socialconditions.', 'African Americans--Economic conditions.', 'Humangeography--United States.']"
Blacknessvisible:essays onphilosophyand race,Charles W,1998,"['United States--Racerelations--Philosophy.', 'African Americanphilosophy.', 'Racism--United States--Philosophy.', 'African Americans--Raceidentity.', 'Afrocentrism. Mills. Page 6 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Afro-Orientalism,Bill V,2004,"['Mullen. c 2004. African Americans--Relationswith Asian Americans.', 'African Americans--Intellectuallife--20 thcentury.', 'Asian Americans--Intellectuallife--20 thcentury.', 'American literature--20 thcentury-- Historyandcriticism.', 'Americanliterature--African Americanauthors.', 'Racerelations inliterature.', 'Racisminliterature.', 'Imperialism inliterature.', 'United States--Racerelations.']"
Racetraitor,editedby Noel Ignatievand John Garvey,1996,"['African Americans--Civilrights.', 'Racism--United States.', 'Racediscrimination--United States.', 'United States--Racerelations.']"
"Conservatismandracism, andwhyin Americatheyarethesame",c 2010,,"['United States--Racerelations.', 'Racism--United States.', 'Conservatism--United States. Robert C.Smith.']"
"America'soriginalsin:racism,whiteprivilege,andthebridgetoa 2017",,,"['Racism--United States.', 'United States--Racerelations--Religiousaspects. new America/Jim Wallis.']"
Whenracebecomesreal:blackandwhitewritersconfronttheir c 2002,,,"['United States--Racerelations--Anecdotes.', 'Racism--United States--Anecdotes.', 'African Americanauthors--Biography--Anecdotes.', 'African Americans--Raceidentity--Anecdotes.', 'African personalhistories/editedby Bernestine Singley', 'epilogueby Americans--Socialconditions--Anecdotes.', 'Authors,American--Biography--Anecdotes.', 'Whites--Raceidentity--United States--Anecdotes.', 'Whites--United States--Socialconditions-- Derrick Bell. Anecdotes.']"
"Enough:thephonyleaders,dead-endmovements,andcultureof c 2006",,1975,"['African Americanleadership.', 'African Americans--Social conditions--1975-', 'African Americans--Politicsand government.', 'United States--Racerelations.', 'Racism--United States. failurethatareundermining Black America-- andwhatwecando about it/Juan Williams.']"
"Winningwhilelosing : civilrights,theconservativemovement,and c 2014",,,"['African Americans--Civilrights.', 'Presidents--United States.', 'Racism--Politicalaspects--History--United States--20 thcentury.', 'African Americans--Socialconditions.', 'Conservatism--United thepresidencyfrom Nixonto Obama/editedby Kenneth Osgood States.', 'United States--Racerelations--Politicalaspects--History--20 thcentury. and Derrick E. White.']"
Colorblind:therise ofpost-racialpoliticsand the retreatfrom c 2010,,,"['United States--Racerelations.', 'United States--Racerelations--Politicalaspects.', 'Racism--Politicalaspects--United States.', 'Liberalism--United States.', 'African Americans--Civilrights--History-- racialequity/Tim Wise. 20 thcentury.']"
Whitelikeme:reflections onrace fromaprivilegedson,Tim c 2008,,"['Wise, Tim J.', 'Racism--United States.', 'Whites--United States--Socialconditions.', 'United States--Racerelations. Wise.']"
Colormatters:skintonebias andthemythofapost-racial 2014,,,"['Colorism--United States.', 'African Americans--Raceidentity.', 'Humanskincolor--Socialaspects--United States.', 'Raceawareness--United States.', 'Racediscrimination--United States.', 'Racism-- America/editedby Kimberly Jade Norwood. United States.']"
Nigger:Thestrangecareer ofa troublesomeword,Randall c 2002,,"['United States--Racerelations--Psychologicalaspects.', 'African Americans--Socialconditions.', 'African Americans--Raceidentity.', 'Racisminlanguage.', 'Racism--United States--Psychological Kennedy. aspects.', 'Englishlanguage--United States--Slang--Socialaspects.', 'Englishlanguage--United States--Slang--Psychologicalaspects.', 'Invective--United States--Psychologicalaspects.', 'Invective-- United States--History--Anecdotes.']"
"Theagonyofmasculinity:race,gender,and educationintheage c 2010",,,"['African Americanmen--Raceidentity.', 'Men--Identity.', 'Racism.', 'Sexism. of""new""racism and patriarchy/Pierre W.Orelus.']"
Criticalrhetorics ofrace,editedby Michael G,2011,"['Lacyand Kent A. c 2011. |Racism--United States.', 'United States--Racerelations.', 'Racisminpopularculture.', 'Racism inmassmedia.', 'Racisminmotionpictures.', 'Racism insports. Ono.']"
Thehiddenrulesofrace barriersto aninclusiveeconomy,2017,,"['African Americans--Economic conditions.', 'African Americans--Socialconditions.', 'Racism--Economicaspects--United States.', 'Incomedistribution--Socialaspects--United States.', 'Equality-- Andrea Flynn,Susan R.Holmberg,Dorian T.Warren, Felicia J. Economicaspects--United States.', 'United States--Racerelations--Economicaspects. Wong.']"
"Howcapitalismunderdeveloped Black America :problemsin race, 2015",,1981,"['African Americans--Economicconditions.', 'Capitalism--United States.', 'Racism--United States.', 'United States--Economicconditions--1981-2001.', 'United States--Racerelations. politicaleconomy,andsociety/Manning Marable(1950-2011)', 'forewordby Leith Mullings.']"
Thesumofus whatracismcostseveryoneandhowwecan [2021] Racism--United States,,,"['Racediscrimination--United States.', 'United States--Racerelations--Economicaspects. prosper together/Heather Mc Ghee.']"
Have Blacklivesevermattered?,Mumia Abu-Jamal,2017,"['African Americans--Socialconditions--1975-', 'African Americans--Civilrights.', 'Racism--United States.', 'African Americans--Violenceagainst.', 'Policebrutality--United States.', 'United States-- Racerelations.']"
"Blackscholars ontheline:race,socialscience,and American c 2007",,,"['African Americans--Socialconditions--20 thcentury.', 'African Americans--Intellectuallife--20 thcentury.', 'African American intellectuals--History--20 thcentury.', 'African Americanscholars-- thoughtinthetwentiethcentury/edited by Jonathan Scott History--20 thcentury.', 'Socialscientists--United States--History--20 thcentury.', 'United States--Intellectuallife--20 thcentury.', 'Socialsciences--United States--History--20 thcentury.', 'United Hollowayand Ben Keppel. States--Racerelations--History--20 thcentury.', 'Racism--United States--History--20 thcentury.', 'United States--Socialconditions--20 thcentury.']"
"Throughoureyes:African American men'sexperiencesofrace, c 2010",,2025,"['African Americanmen.', 'Racism--United States.', 'Violence--United States.', 'Identity(Psychology)', 'Stereotypes (Socialpsychology) gender,andviolence/Gail Garfield. Page 7 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Shadowboxing:representations ofblack feministpolitics,James 2002,,"['African Americanwomen--Politicalactivity.', 'Radicalism--United States.', 'Feminism--United States.', 'Stereotypes(Socialpsychology)--United States.', 'Racism--United States.', 'United States-- Joy. Racerelations.']"
"Theycan't killusall:Ferguson, Baltimore,andanewerain 2016",,,"['Blacklivesmattermovement.', 'African Americans--Socialconditions--21 stcentury.', 'African Americans--Civilrights.', 'Racialprofilinginlawenforcement--United States.', ""Policeshootings-- America'sracialjusticemovement/Wesley Lowery. |United States."", 'Policemisconduct--United States.', 'Racediscrimination--United States.', 'Racism--United States.']"
Racestillmatters:therealityof African American livesandthe [2016] African Americans--Socialconditions--21 stcentury,,,"['African Americans--Raceidentity.', 'Racediscrimination--United States.', 'Racism--United States.', 'United States--Racerelations--21 st mythofpostracial society/edited by Yuya Kiuchi. century.']"
"Thetruththatneverhurts writings onrace,gender,andfreedom",c 1998,1946,"['African Americanwomen--Civilrights.', 'Lesbianfeminism--United States.', 'Americanliterature--African American authors--Historyandcriticism.', 'United States--Racerelations.', 'African Barbara Smith. Americanlesbians.', 'Racism--United States.', 'Smith,Barbara,--1946-']"
From#Black Lives Matterto Blackliberation,"Keeanga-Yamahtta [2016] Obama, Barack--Influence",,"['Blacklivesmattermovement.', 'African Americans--Social conditions--21 stcentury.', 'Racism--United States--21 stcentury.', 'Racialprofilinginlawenforcement-- Taylor. United States.', 'Discriminationincriminaljusticeadministration.', 'Socialmovements--United States--21 stcentury.', 'African Americans--Employment--History.', 'African Americans--Civil rights.:Policebrutality--United States.', 'Policemisconduct--United States.', 'Racediscrimination--United States.', 'Post-racialism--United States.']"
Longoverdue:the politicsofracialreparations,Charles P,2007,"['Henry. c 2007. African Americans--Reparations--History.', 'African Americans--Legalstatus,laws,etc.--History.', 'African Americans--Civilrights--History--20 thcentury.', 'Civilrightsmovements--United States--History--20 thcentury.', 'Reparations forhistoricalinjustices--United States.', 'Racism--Politicalaspects--United States.', 'United States--Politics andgovernment--20 thcentury.', 'United States--Racerelations.', 'Slavery--United States--History.']"
Arespectablewoman:thepublicroles of African American c 2008,,,"['African Americanwomen--New York(State)--New York--Socialconditions--19 thcentury.', 'African Americanwomen--New York(State)--New York--History--19 thcentury.', 'African womenin 19 th-century New York/Jane E. Dabel. Americanwomen--New York(State)--New York--Politicalactivity--History--19 thcentury.', 'Sexrole--New York(State)--New York--History--19 thcentury.', ""Women'srights--New York (State)--New York--History--19 thcentury."", 'Communitylife--New York(State)--New York--History--19 thcentury.', 'Racism--New York(State)--New York--History--19 thcentury.']"
"Talkwithyoulikeawoman:African Americanwomen,justice, c 2010",,1935,"['African Americanwomen--Employment--New York(State)--New York.', 'African Americanwomen--New York(State)--New York--Socialconditions--History.', 'Sexrole--New York(State)-- andreformin New York, 1890-1935/Cheryl D.Hicks. New York--History--19 thcentury.', ""Women'srights--New York(State)--New York--History--19 thcentury."", 'Racism--New York(State)--New York--History--20 th century.']"
"Beingbrownin Dixie:race,ethnicity,and Latinoimmigrationin 2011",,1945,"['Hispanic Americans--Southern States--Socialconditions.', 'Immigrants--Southern States--Socialconditions.', 'Racism--Southern States.', 'Ethnicity--Southern States.', 'Southern States--Ethnic thenew South/editedby Cameron D.Lippard,Charles A. relations.', 'Southern States--Racerelations.', 'Southern States--Socialconditions--1945-', 'Southern States--Emigrationand immigration.', 'Latin America--Emigration andimmigration. Gallagher.']"
Conjuringcrisis:racismand civilrights inasouthernmilitarycity c 2010,,,"['Racism--North Carolina--Fayetteville.', 'Fayetteville(N.C.)--Racerelations--Politicalaspects.', 'Fayetteville(N.C.)--Politicsandgovernment.', 'Fayetteville(N.C.)--Economicpolicy.', 'Urbanpoor-- George Baca. Governmentpolicy--North Carolina--Fayetteville.', 'Urbanpolicy--North Carolina--Fayetteville.']"
Thegoodimmigrants:howtheyellowperilbecamethemodel [2015] Chinese Americans--History,,,"['Chinese Americans--Culturalassimilation.', 'Chinese Americans--Ethnicidentity.', 'Racism--Politicalaspects--United States.', 'Politicalrefugees--United States-- minority/Madeline Y.Hsu. History.', 'United States--Ethnic relations--History.', 'United States--Racerelations--History.', 'United States--Emigrationandimmigration--Governmentpolicy--History.', 'China--Emigration and |immigration--History.']"
Facesofenvironmentalracism: confronting issues ofglobaljustice c 1995,,,"['Environmentalpolicy--United States.', 'Environmentalpolicy--North America.', 'Racism--United States.', 'Racism--North America. edited by Laura Westraand Peter S.Wenz', 'forewordby Eugene Hargrove.']"
Shadesofdifference:whyskin colormatters,editedby Evelyn c 2009,,"['Humanskincolor--Socialaspects.', 'Human skincolor--Economicaspects.', 'Racism.', 'Racerelations. Nakano Glenn.']"
Kinship and gender:anintroduction,Linda Stone,1997,"['Kinship.', 'Sexrole.', 'Genderidentity.']"
"Muslimdiaspora : gender,cultureand identity",editedby Haideh 2006,,"['Ethnology--Islamic countries.', 'Muslimdiaspora.', 'Islam--Customsandpractices.', 'Islam andculture.', 'Multiculturalism.', 'Genderidentity--Islamiccountries. Moghissi.']"
Men'scollegeathleticsand thepoliticsofracialequality:five 2012,,,"['Collegesports--United States.', 'Racisminsports--United States.', 'Discriminationinsports--United States.', 'African American athletes.', 'United States--Racerelations. pioneerstories of Blackmanliness, Whitecitizenship,and Americandemocracy/Gregory J. Kaliss.']"
Paytoplay:raceandtheperils ofthecollegesports industrial [2017] Collegesports--Economicaspects--United States,,,"['Collegeathletes--United States--Economicconditions.', 'Collegesports--Moralandethicalaspects--United States.', 'Racisminsports--United complex/Lori Latrice Martin, Ph D, Kenneth J.Fasching-Varner, States.', 'National Collegiate Athletic Association. Ph D, and Nicholas D.Hartlep, Ph D']"
Sportsex,Toby Miller,2001,"['|Sports--Anthropologicalaspects.', 'Genderidentity.', 'Sports--Socialaspects. Page 8 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Commodifiedandcriminalized newracismand African c 2011,,,"['Racisminsports--United States.', 'Discriminationinsports--United States.', 'African Americanathletes.', 'United States--Racerelations. Americansincontemporarysports/edited by David J.Leonard and C.Richard King.']"
"Thenewplantation :Black athletes,collegesports,and 2010",,,"['African Americanathletes--Socialconditions.', 'African Americancollegestudents--Socialconditions.', 'National Collegiate Athletic Association.', 'Collegesports--United States.', 'Racismin predominantly White NCAAinstitutions/Billy Hawkins. sports--United States.', 'Racismin education--United States.', 'United States--Racerelations.']"
Playingwhile White privilegeandpoweronand offthefield,[2017] Racisminsports--United States,,"['Sports--Socialaspects--United States.', 'Whites--Raceidentity--United States. David J.Leonard.']"
"Beyondthewhiteshadow: philosophy,sports,andthe African c 2012",,,"['Race relations--Sports--Philosophy.', 'African Americans--Sports.', 'Racism--Sports--Philosophy. Americanexperience/John H.Mc Clendon III, Stephen C. Ferguson II.']"
Taliaferro:breakingbarriersfromthe NFLdrafttothe ivorytower c 2007,,1927,"['Taliaferro,George,--1927-2018.', 'Footballplayers--United States--Biography.', 'African Americanfootballplayers--Biography.', 'Indiana University,Bloomington--Football--History.', 'Racismin Dawn Knight. sports--United States--History--20 thcentury. 167|Jack Johnson,rebelsojourner:boxing inthe shadowoftheglobal c 2012. |Johnson,Jack,--1878-1946.', 'Boxers(Sports)--United States--Biography.', 'African Americanboxers--Biography.', 'Boxing--United States--History.', 'Racisminsports.', 'United States--Race colorline/Theresa Runstedtler. relations--History--20 th century.']"
Historiesofracialcapitalism,editedby Destin Jenkins and Justin [2021] United States--Economicconditions,,"['Capitalism--United States--History.', 'Racism--Economicaspects--United States. Leroy.']"
Leadershipinadiverseandmulticulturalenvironment:developing c 2005,,,"['Executives--Trainingof--United States.', 'Diversityintheworkplace--United States.', 'Leadership--United States. awareness,knowledge,andskills/Mary L.Connerley,Paul B. Pedersen.']"
Managing culturaldifferences: effectivestrategyandexecution c 1999,,,"['Internationalbusinessenterprises--Management.', 'Diversityintheworkplace--Management.', 'Consolidationandmergerofcorporations--Management.', 'Jointventures--Management.', 'Strategic across cultures inglobalcorporatealliances/Piero Morosini. alliances(Business)', 'Nationalcharacteristics.']"
"Justwork:getsh*tdone, fast&fair",Kim Scott,2021,"['Discriminationinemployment.', 'Sexdiscriminationinemployment.', 'Diversityintheworkplace.', 'Organizationalchange.', 'Organizationalbehavior.', 'Diversity, Equity, Inclusion.']"
Inventingequalopportunity,Frank Dobbin,2009,"['Discriminationinemployment--United States.', 'Affirmativeactionprograms--United States.', 'Diversityintheworkplace--United States.', 'Sexualharassmentofwomen--United States.', 'Civil |rights--United States.', 'Personnelmanagement--United States.']"
Racialcompetitionandclasssolidarity,Terry Boswell,2006,"['..[etal.] c 2006. Discriminationinemployment--United States--History.', 'Racediscrimination--United States--History.', 'Laborunions--Socialaspects--History.--United States', 'Racism--United States--History-- 19 thcentury.', 'Racism--United States--History--20 thcentury.', 'Workingclass--United States--History.']"
Hatethyneighbor:move-inviolenceandthepersistenceofracial [2013] Discriminationinhousing--United States,,,"['Minorities--Housing--United States.', 'Racism--United States. segregationin Americanhousing/Jeannine Bell.']"
"Racingforinnocence:whiteness,gender,andthebacklashagainst [2012] Affirmativeactionprograms--United States--Publicopinion",,,"['Whites--United States--Attitudes.', 'Lawyers--United States--Attitudes.', 'Womenlawyers--United States--Attitudes.', 'Racism-- affirmativeaction/Jennifer L.Pierce. United States.', 'Massmediaandpublic opinion--United States.', 'Whites--Race identity--United States.', 'Collectivememory--United States.', 'Publicopinion--United States.', 'United States--Race relations.']"
Gettingtodiversity:whatworksandwhatdoesn't,"Frank Dobbin, 2022",,"['Diversityintheworkplace.', 'Organizationalchange.', 'Discriminationinemployment. Alexandra Kalev.']"
Thediversityscorecard :evaluatingtheimpactofdiversityon c 2004,,,['Diversityintheworkplace--Measurement. organizationalperformance/Edward E. Hubbard.']
Corporatetribalism :whitemen,whitewomenandcultural 2009,,"['Diversityintheworkplace.', 'Intercultural communication.', 'Culturalawareness.', 'Whites--Attitudes. diversityatwork/Thomas Kochmanand Jean Mavrelis.']"
Implementingdiversity,Marilyn Loden,1996,['Diversityintheworkplace--United States.']
"Thedifference:howthepowerofdiversitycreatesbettergroups, c 2007",,,"['Diversityintheworkplace.', 'Multiculturalism. firms,schools,andsocieties/Scott E. Page.']"
The Rowman&Littlefieldhandbookonworkplacediversityand [2023] Diversityintheworkplace,,2025,"['stratification/editedby Tsedale M. Melaku,Angie Beeman,and Christoph Winkler. Page 9 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
"Generationsatwork:managingtheclashofveterans,boomers, c 2000",,,"['Diversityintheworkplace--United States.', 'Agegroups--United States.', 'Conflictofgenerations--United States.', 'Supervisionofemployees. xers,andnextersinyourworkplace/Ron Zemke,Claire Raines, Bob Filipczak.']"
"Visibleidentities: race,gender, andtheself",Linda Martín Alcoff,2006,"['Groupidentity.', 'Ethnicity.', 'Raceawareness.', 'Genderidentity.']"
Pursuing Trayvon Martin:historicalcontextsandcontemporary c 2013,,1995,"['Stereotypes(Socialpsychology)--United States.', 'Racialprofilinginlawenforcement--United States.', 'Neighborhoodwatchprograms--United States.', 'Racism--United States.', 'Martin,Trayvon,-- manifestationsofracialdynamics/edited by George Yancyand 1995-2012.', 'Zimmerman,George,--1983- Janine Jones.']"
Aftermulticulturalism:thepolitics ofraceandthedialecticsof c 2008,,,"['|Multiculturalism--United States.', 'Culturalpluralism--United States.', 'Racism--United States.', 'United States--Racerelations. liberty/John F.Welsh.']"
"The Psychologyofsexualorientation,behavior,and identity:a 1995",,,"['Sexualorientation.', 'Genderidentity.', 'Homosexuality. handbook editedby Louis Diamant and Richard D.Mc Anulty.']"
"Americansexualcharacter: sex,gender,andnationalidentityin c 2005",,1956,"['Sex--United States.', 'Genderidentity--United States.', 'Institutefor Sex Research.--Sexualbehaviorinthehumanfemale.', 'Kinsey,Alfred C.--(Alfred Charles),--1894-1956.--Sexualbehaviorin the Kinseyreports/Miriam G.Reumann. thehumanmale.']"
Gender:agraphicguide,"Meg-John Barker,Jules Scheele",2019,"['|Sexrole.', 'Sexrole--History.', 'Genderidentity.', 'Genderidentity--History.', 'Gendernonconformity.', 'Sexualminorities--Identity.', 'Gender-nonconformingpeople.']"
"Nonbinarygenderidentities :history,culture,resources",Charlie [2018] Gender-nonconformingpeople,,"['Transgenderpeople.', 'Genderidentity.', 'Gendernonconformity. Mc Nabb.']"
Gay Berlin:birthplaceofamodern identity,Robert Beachy,2014,"['Gaymen--Germany--Berlin--Identity.', 'Gayculture--Germany--Berlin.', 'Homosexuality--Germany--Berlin.', 'Genderidentity--Germany--Berlin']"
Themanwhowouldbequeen:the scienceofgender-bendingand c 2003,,,"['Gaymen--United States--Psychology--Casestudies.', 'Transsexuals--United States--Psychology--Casestudies.', 'Malehomosexuality--Psychologicalaspects.', 'Transsexualism--Psychological transsexualism/J.Michael Bailey. aspects.', 'Gendernonconformity--Psychologicalaspects.', 'Genderidentity--Psychologicalaspects.', 'Sexualorientation--Psychologicalaspects.', 'Natureandnurture.']"
Homosexuality&civilization,Louis Crompton,2003,"['Homosexuality--History.', 'Genderidentity--History.', 'Homophobia--History.']"
Mappingdesire: geographiesofsexualities,editedby David Bell 1995,,"['Homosexuality.', 'Lesbianism.', 'Heterosexuality.', 'Sex--Philosophy.', 'Genderidentity--Philosophy. &Gill Valentine.']"
"Moralpanics,sexpanics :fearand thefightoversexualrights",c 2009,,"['Gayrights--United States--History.', 'Genderidentity--United States--History.', 'Sexualminorities--United States--History.', 'Ethicalabsolutism--History.', 'Sexualrights--United States--History. editedby Gilbert Herdt.']"
Transgendervoices beyondwomenandmen,Lori B,2008,"['Girshick. c 2008. Transgenderpeople--Interviews.', 'Gendernonconformity.']"
Thehiddencaseof Ewan Forbes andtheunwrittenhistoryofthe 2021,,1912,"['Forbes, Ewan,--Sir,--1912-1991.', 'Transgendermen--Biography.', 'Intersexpeople--Biography.', 'Physicians--Scotland--Biography. transexperience/ZoëPlaydon.']"
Crossing:amemoir,Deirdre Mc Closkey,1999,"['Mc Closkey,Deirdre N.', 'Transsexuals--United States--Biography.', 'Transsexuals--United States--Psychology.', 'Genderidentity--United States--Psychologicalaspects.']"
Asocialandpsychologicalaccountofgendertransition:thediary c 2008,,1952,"['Teague, Gypsey,--1952---Diaries.', 'Transgenderpeople--United States--Diaries.', 'Gendernonconformity--United States. ofatranssexualacademic/Gypsey Elaine Teague', 'witha forewordby Jennifer Sager.']"
Transgenderandraceinanageofunsettled identities,Rogers [2016] Identitypolitics,,"['Transgenderpeople.', 'Race.', 'Identity(Psychology)', 'Raceawareness.', 'Raciallymixedpeople--Raceidentity--United States. Brubaker.']"
