id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths
1426514,"Scrap Central, Inc.",Scrap Central Inc,470840581,2728 N 85th Street,Omaha,NE,68134,562920, Materials recovery facilities (MRF) ,35,69453,1,0
1426515,"North Coast Energy Services, Inc.","North Coast Energy Services, Inc.",942797280,"966 MAZZONI ST, STE 3B",UKIAH,CA,95482,541350, Energy efficiency inspection services ,42,60751,1,0
1426516,City of Winston Salem,Al Beaty Public Safety,566000241,1200 North Patterson Ave,Winston-Salem,NC,27101,922120, Police departments (except American Indian or Alaska Native) ,158,328640,1,0
1426517,Slater Painting Company,Slater Painting Company,742439030,9607 Gray Boulevard,Austin,TX,78758,238320, House painting ,85,182299,1,0
1426518,Modern Advanced Manufacturing,Modern Advanced Manufacturing,270475306,4301 Kishwaukee St,Rockford,IL,61109,332710, Machine shops ,130,360587,1,0
1426519,City of Winston Salem,Sanitation,566000241,2000 Lowery St,Winston-Salem,NC,27101,562111," Waste collection services, nonhazardous solid ",140,291200,1,0
1426520,D.R. Martineau Construction Inc.,D.R. Martineau Construction,411821411,3591 Work Dr. Unit A,Ft Myers ,FL,33916,238160, Roofing contractors ,45,63936,1,0
1426521,City of Winston Salem,Elledge Wastewater,566000241,2801 Griffith Rd,Winston-Salem,NC,27103,221320, Sewage treatment plants or facilities ,21,43660,1,0
1426522,Williamson County,Williamson County Sheriff Department,376002369,404 North Van Buren,Marion,IL,62959,922120, Sheriffs' offices (except court functions only) ,95,15840,1,0
1426523,City of Winston Salem,Hanes Mill Landfill,566000241,325 Hanes Mill Rd,Winston-Salem,NC,27105,562212," Solid waste landfills, nonhazardous ",26,54080,1,0
1426524,Williamson County,"Court House, Animal Control and Administration Building",376002369,407 North Monroe,Marion,IL,62959,922110, Circuit courts ,82,11480,2,0
1426525,City of Winston Salem,Manson Meads Complex,566000241,2799 Griffith Rd,Winston-Salem,NC,27103,221320, Sewage treatment plants or facilities ,40,83200,1,0
1426526,City of Winston Salem,Meter Shop,566000241,1550 MLK Jr Dr,Winston-Salem,NC,27107,221310, Water supply systems ,36,74880,1,0
1426527,Machine and Welding of Danbury Inc.,Machine & Welding of Danbury Walnut Cove,462785452,1260 N Main Street,Walnut Cove,NC,27052,332312, Fabricated structural metal manufacturing ,21,34160,2,0
1426528,Highway Department,Williamson County Highway Department,376002369,1817 North Court Street,Marion,IL,62959,237310, Oil field road construction ,34,65000,1,0
1426529,City of Winston Salem,UFO-Utilities,566000241,1550 MLK Jr Dr,Winston-Salem,NC,27107,221310, Water distribution (except irrigation) ,109,226720,1,0
1426530,"Associated Petroleum Products, Inc.",APP Anacortes,911186058,9669 Padilla Heights Rd,Anacortes,WA,98221,424710, Petroleum and petroleum products bulk stations and terminals ,29,56341,1,0
1426531,City of Winston Salem,Muddy Creek Wastewater,566000241,4561 Cooper Rd,Winston-Salem,NC,27127,221320, Sewage treatment plants or facilities ,18,37440,1,0
1426532,Rockford Process Control,Rockford Process Control,824150028,2020 7th Street,Rockford,IL,61104,332510," Hinges, metal, manufacturing ",86,145154,1,0
1426533,Perry Construction Company,Perry Construction Company,640477937,242 W. Beacon St.,Philadelphia,MS,39350,236210," Industrial building (except warehouses) construction, general contractors ",13,18851,2,0
1426534,Acro Service Corporation,Acro Service,382413629,"39209 W. Six Mile Road, STE 250",Livonia,MI,48152,561320, Help supply services ,1291,2306818,2,0
1426535,Nucor Tubular Products Inc,Nucor Tubular Products Madison,619108970,4004 N State Road 421,Madison,IN,47250,331210," Tubing, mechanical and hypodermic sizes, cold-drawn stainless steel, made from purchased steel ",87,184273,1,0
1426536,"East Alabama Paving Company, Inc. ","East Alabama Paving Company, Inc. ",630596499,11 old columbus rd.,Opelika,AL,36804,237310," Asphalt paving (i.e., highway, road, street, public sidewalk) ",80,162203,1,0
1426537,City of Winston Salem,Union Station,566000241,300 S MLK Jr Dr,Winston Salem,NC,27101,921190, General public administration ,17,35360,2,0
1426538,The Pride Services Co Inc,The Pride Services Co Inc,760283086,17802 East Hardy Road,Houston,TX,77073,238310, Drywall contractors ,30,56013,2,0
1426539,Divine Providence Community Home,Divine Providence Community Home,410839343,700 3rd Ave NW,Sleepy Eye,MN,56085,623110, Skilled nursing facilities ,72,108280,1,0
1426540,CarrollCo Inc,CarrollCo Inc,274077080,3104 N Miami Ave,Fresno,CA,93727,236118," Remodeling and renovating general contractors, residential ",54,92161,2,0
1426552,"Meta Fab, Inc.","Meta Fab, Inc.",930839130,922 W. Main St.,HILLSBORO,OR,97123,332322, Sheet metal work (except stampings) manufacturing ,49,93184,1,0
1426553,Westminster Communities of Florida,Westminster Bradenton Manor,590931267,1700 21st Ave W,Bradenton,FL,34205,623311," Retirement communities, continuing care ",145,221001,1,0
1426554,Global Water Resources,GWRC,202545412,22590 N Powers pkwy,Maricopa,AZ,85138,221310, Water treatment and distribution ,82,164000,2,0
1426555,"Telesto Solutions, Inc. ",Telesto Solutions,841578370,"750 14th Street, SW ",Loveland,CO,80537,541620, Environmental consulting services ,8,14846,2,0
1426556,Isthmus Engineering and Manufacturing Coop,Isthmus Engineering and Manufacturing Coop,391422973,4035 Owl Creek Drive,Madison,WI,53718,333999, Aircraft carrier catapults manufacturing ,70,141378,1,0
1426557,Concord Hospitality Enterprises Company,AC Hotel Pittsburgh,814282661,1126 Smallman Street ,Pittsburgh ,PA,15222,721110, Hotels (except casino hotels) ,16,32000,2,0
1426558,Monumental Concrete,DC Village Plant,274280815,3 DC Village Lane SW ,Washington,DC,20032,327320, Central-mixed concrete manufacturing ,36,73657,1,0
1426559,"American Legacy Construction Group, Inc.","American Legacy Construction Group, Inc.",261394722,1121 SE Broadway Dr,Lee's Summit,MO,64081,238210, Electrical contractors ,46,77937,2,0
1426560,"Orange County Erectors, Inc.","Orange County Erectors, Inc.",953135208,517 E. La Palma Ave,Anaheim,CA,92801,238120, Structural steel erecting or iron work contractors ,148,332176,1,0
1426561,YELLOW MEDICINE EAST INDEPENDENT SCHOOL DISTRICT 2190,YELLOW MEDICINE EAST INDEPENDENT SCHOOL DISTRICT 2190,416004911,450 9TH AVE,GRANITE FALLS,MN,56241,611110, Elementary and secondary schools ,157,112440,1,0
1426562,MINNESOTA VALLEY COOPERATIVE CENTER,Minnesota Valley Cooperative Center #978,410986416,450 9th Avenue,Granite Falls,MN,56241,611710, Educational support services ,43,18275,2,0
1426563,John D Osborne Trucking Inc,John D Osborne Trucking Inc,382991429,37500 Northline Rd,Romulus,MI,48174,484220," Dump trucking (e.g., gravel, sand, top soil) ",21,44904,2,0
1426564,Marriott Crabtree,Marriott Crabtree,800950104,4500 Marriott Dr,Raleigh,NC,276123365,721110," Hotel management services (i.e., providing management and operating staff to run hotel) ",68,114142,2,0
1426565,Osborne Concrete Co Inc,Osborne Concrete,381781008,37500 Northline Rd,Romulus,MI,48174,327320, Ready-mix concrete manufacturing and distributing ,20,39226,1,0
1426566,Administrative Systems Inc.,Landmark of Collins,721481543,1315 S FIR AVE,COLLINS,MS,39428,621399," Home nursing services, private practice ",75,83611,1,0
1426567,"FHAR, INC.","FHAR, INC.",237062027,20 E 20th Ave.,San Mateo,CA,94403,623210," Group homes, intellectual and developmental disability ",113,200072,1,0
1426568,Rhino Container,Rhino Container,330858850,13950 Ramona Ave.,Chino,CA,91710,423990," General merchandise, durable goods, merchant wholesalers ",46,91331,1,0
1426569,"Bolttech Mannings, Inc.",Bolttech,251363753,501 Mosside Blvd.,North Versailles,PA,15137,238990," Underpinning, construction ",158,370049,1,0
1426570,"Mars Wrigley Confectionery US, LLC",YRV,364408179,2800 N. Route 47,Yorkville,IL,60560,311340," Confectionery, nonchocolate, manufacturing ",350,578000,1,0
1426571,Bradham Brothers Inc,Bradham Brothers Inc,561125221,6128 Rozzelles Ferry Road,Charlotte,NC,28214,238220, Air system balancing and testing ,43,96537,1,0
1426572,Safety Solutions LLC,Safety Solutions LLC,,PO Box 94916,North Little Rock,AR,72190,541690, Safety consulting services ,1,2080,2,0
1426573,Condie Construction Company,Condie Construction Company,870485971,53 North 1650 West,Springville,UT,84663,237110," Distribution line, sewer and water, construction ",56,123845,1,0
1426574,"Aquafil USA, Inc. ",Aquafil Carpet Recycling #1- AZ,822222949,3555 West Washington Street,Phoenix,AZ,85009,562920, Materials recovery facilities (MRF) ,68,107365,1,0
1426575,Aquafil USA,Aquafil USA- 101 Fiber Drive,582449874,101 Fiber Drive,Cartersville ,GA,30120,313110, Nylon thread manufacturing ,23,45219,1,0
1426576,Aquafil USA,Aquafil USA- 1 Aquafil Drive,582449874,1 Aquafil Drive ,Cartersville ,GA,30120,313110, Nylon thread manufacturing ,273,571008,1,0
1426577,Meridiam Partners,Meridiam Partners ,,1001 W. Arizona Ave.,Denver,CO,80223,237990, Trail construction ,52,87737,2,0
1426578,Nelson Young Lumber Company,Nelson Young Lumber Company,390590240,11 S Catlin St,Edgerton,WI,535342101,444190, Lumber retailing yards ,32,67289,1,0
1426579,,"Riverside Chemical Company, Inc.",160609600,871 River Road,North Tonawanda,NY,14120,424690, Industrial chemicals merchant wholesalers ,15,23991,2,0
1426580,"Pegaso Energy Services, LLC. ",Pegaso Midland ,843048175,"801 Barton Springs, RD Ste. 9 ",Austin ,TX,78704,213112, Oil well logging on a contract basis ,90,176514,1,0
1426581,"The Watson Company, Inc.","The Watson Co., Inc.",411354603,530 25th Ave SW,Cambridge,MN,55008,424940, Cigarettes merchant wholesalers ,15,20243,1,0
1426582,County of Harding,County of Harding,856000222,35 Pine St,Mosquero,NM,87733,921120, County commissioners ,27,52000,2,0
1426583,Minimus LLC,Minimus LLC,201224083,2610 Conejo Spectrum Street,Newbury Park,CA,91320,454111, Business to Consumer retail sales Internet sites ,30,91520,1,0
1426584,Acro Service Corporation,Anchor Staffing,208025769,"39209 W. Six Mile Road, STE 250",Livonia,MI,48152,561320, Help supply services ,220,297114,1,0
1426585,Price Distributing Co,Price Distributing Company,751779201,3700 S Oak Grove Rd,Ennis,TX,75119,445310," Beer stores, packaged ",65,135200,1,0
1426586,PTG Silicones Inc,PTG Silicones,205256496,827 Progress Boulevard,New Albany,IN,47150,339991, Molded packings and seals manufacturing ,18,31131,2,0
1426587,Sierra Lane Inc DBA Green Frog Cleaning,Sierra Lane Inc DBA Green Frog Cleaning,201113952,7171 Alvarado RD #205,La Mesa,CA,91942,561720," Housekeeping services (i.e., cleaning services) ",16,32535,1,0
1426588,"Gootee Construction, Inc.","GOOTEE CONSTRUCTION, INC.",721199308,1001 South Harimaw Ct.,Metairie,LA,70001,238220, Mechanical contractors ,130,252228,2,0
1426589,OMEX,TASK MASTERS INC,,205 HOUSE AVE,CAMP HILL,PA,17011,561720," Building cleaning services, janitorial ",182,178721,1,0
1426590,Daeha America Corp,Daeha America Corp,270762081,201 Piedmont Cir.,LaGrange,GA,30240,325211,Plastic Manufacturing,38,73872,2,0
1426591,"GPM, Inc",GPM,411331210,4432 Venture Ave,Duluth,MN,55811,333911," Pumps, industrial and commercial-type, general purpose, manufacturing ",68,136261,1,0
1426592,Sioux Erosion Control,Sioux Erosion Control,263954521,2824 S. Frontage Rd.,Weatherford,OK,73096,561730, Sod laying services ,68,171497,1,0
1426593,Wyatt Contracting,Wyatt Contracting,474574978,2824 S. Frontage Rd.,Weatherford,OK,73096,238910," Excavating, earthmoving, or land clearing contractors ",64,122303,1,1
1426594,Acro Service Company,Pinnacle Staffing,472447494,"39209 W. Six Mile Road, Suite 250",Livonia,MI,48152,561320, Help supply services ,162,237736,1,0
1426595,REFA STEEL ERECTORS,Refa Steel Erectors,930831741,14255 SW 72 ND AVE.,TIGARD,OR,97224,238120," Iron work, structural, contractors ",60,42481,2,0
1426596,RJL LABOR SERVICES INC.,RJL LABOR SERVICES INC.,271575024,1578 SHAW AVE.,CLOVIS,CA,93611,111336, Fruit and tree nut combination farming ,341,617905,1,0
1426597,Meili Construction Co.,Meili Construction Co.,930660231,10 VAN BUREN ST.,Eugene,OR,97402,236220," Addition, alteration and renovation for-sale builders, commercial and institutional building ",63,117164,1,0
1426598,"CS Marine Constructors, Inc","CS Marine Constructors, Inc ",680114229,425 15Th Street,Vallejo,CA,94592,237990," Construction management, marine structure ",20,37370,2,0
1426599,Cardinal Health,Cardinal Health - Seattle DC,,801 C Street NW,Auburn,WA,98001,424210, Pharmaceuticals merchant wholesalers ,113,199552,1,0
1426600,NDGI,Bucyrus,450319514,1118 Sherman Street,Bucyrus,OH,44820,115114," Sorting, grading, cleaning, and packing of fruits and vegetables ",21,32082,2,0
1426601,North Dakota Grain Inspection,Circleville,450319514,613 S Washington Street,Circleville,OH,43113,115114," Vegetable sorting, grading, and packing ",27,60019,2,0
1426602,PM ELECTRIC,PM ELECTRIC INC.,330886982,4775 LANIER RD.,CHINO,CA,91710,238210, Low voltage electrical work ,45,80894,2,0
1426603,North Dakota Grain Inspection Services,Illinois ,450319514,1672 Sauget Industrial Parkway,Sauget,IL,62206,115114," Vegetable sorting, grading, and packing ",39,37919,2,0
1426604,,Golden State Bridge Inc.,,3701 Mallard Drive,Benicia,CA,94510,237310, Bridge construction ,104,229174,1,0
1426606,"Modoc Contracting Co., Inc.","Modoc Contracting Co., Inc.",680400884,4027 Hwy 39,Klamath Falls,OR,97603,236220," Construction management, commercial and institutional building ",75,126002,1,0
1426607,Madison Park Vol. Fire Co. ,Madison Park Vol. Fire Co.,,3011 Cheesequake Road,Parlin,NJ,8859,922160," Fire departments (e.g., government, volunteer (except private)) ",20,2127,2,0
1426608,Longevity Health Services LLC,Longevity Health Services LLC,451803573,131-07 40th Rd Suite E5,Flushing,NY,11354,621610," Home care of elderly, medical ",2200,2700000,1,0
1426619,North Dakota Grain Inspection Services,Fargo,450319514,4150 98th Ave S,Fargo,ND,58104,115114," Vegetable sorting, grading, and packing ",111,148603,1,1
1426620,Cole&Ashcroft,Cole & Ashcroft - Houston,760367317,5631 Brystone Drive,Houston,TX,77041,322220, Gift wrap made from purchased materials ,45,87763,1,0
1426621,SenSpa Presidio LLC,SenSpa ,161734274,1161 Gorgas Ave,San Francisco,CA,941291407,812112, Cosmetology salons or shops ,46,37500,1,0
1426622,Ashes & Diamonds,"Napa Winery Group, LLC",320334758,4130 Howard Ln,Napa,CA,94558,312130, Wineries ,28,44373,1,0
1426623,PetVet Care Centers,Pets on Broadway,471569142,2232 S Broadway,Denver,CO,80210,541940, Animal hospitals ,22,32285,1,0
1426624,City of Upsala,City of Upsala,416005590,105 South Main Street Suite 2,Upsala,MN,56384,921190," Auditor's offices, government ",40,3835,1,1
1426625,MyCare Hawaii Inc. DBA Lanikai Juice,MyCare Hawaii Inc. DBA Lanikai Juice,831809963,2333 Alahao Place #2A,Honolulu,HI,96819,311421," Beverages, fruit and vegetable juice, manufacturing ",72,72036,1,0
1426626,Brist MFG,Brist MFG,474417268,4208 Meridian St #102,Bellingham,WA,98226,323113, Commercial screen printing ,47,81659,2,0
1426627,EM Harris ,EM Harris ,431499924,2600 Delmar Blvd,St. Louis ,MO,63103,236118," Construction management, residential remodeling ",23,35080,1,0
1426628,American Gypsum Company,American Gypsum Company - Albuquerque Facility,,4600 Paseo Del Norte ,Albuquerque,NM,87113,327420, Gypsum building products manufacturing ,82,179717,2,0
1426629,American Gypsum Company,American Gypsum Company - Bernalillo,,1000 North Hill Rd,Bernalillo,NM,87004,327420," Wallboard, gypsum, manufacturing ",54,136694,2,0
1426630,Scott Technologies Inc. (Scott Safety),"Life Safety Products, Monroe Operations",,4320 Goldmine Road,Monroe,NC,28110,339113, Respiratory protection mask manufacturing ,566,1094451,1,1
1426631,"HODGDON POWDER COMPANY, INC.",HERINGTON FACILITY,480724698,"2577 Q AVENUE, HERINGTON INDUSTRIAL AIR PARK",HERINGTON,KS,67449,325920, Gunpowder manufacturing ,50,111902,1,0
1426632,JHI Group / Janotta & Herner,JHI Group / Janotta & Herner,340894044,309 Monroe Street,Monroeville,OH,44847,236220, Commercial building construction general contractors ,151,300609,1,0
1426633,JHI Group / Firelands Fab ,JHI Group / Firelands Fab,340894044,309 Monroe Street,Monroeville,OH,44847,332312, Fabricated structural metal manufacturing ,29,49243,1,0
1426634,,Homewood Suite by Hilton Gateway Hills Nashua,,15 Tara Blvd,Nashua,NH,3062,721110, Hotels (except casino hotels) ,19,27137,2,0
1426635,Holten Meat inc.,Branding Iron Holdings,,1682 Sauget Business Blvd.,Sauget,IL,62206,311612," Meats, fresh or chilled  (except poultry and small game), frozen, made from purchased carcasses ",344,714961,1,0
1426636,"II Stanley Company, Inc.","II Stanley Company, Inc.",382699208,1500 Hill Brady Road,Battle Creek,MI,49037,336320, Automotive lighting fixtures manufacturing ,656,1242831,1,0
1426637,Albany Industries,Albany Industries - Galax,453194852,626 Creekview Dr,Galax,VA,24333,337121," Household-type furniture, upholstered, manufacturing ",196,334779,1,0
1426638,alabama moulding & cabinet door,alabama moulding & cabinet door,,181 brady waldrep circle,jasper,AL,35504,337110," Cabinets, kitchen (except freestanding), stock or custom wood, manufacturing ",50,95299,2,0
1426639,Iatric Manufacturing Solutions,IATRIC Manufacturing Solutions,,328 Hamblen ave,Morristown,TN,37813,322299," Filters, paper, made from purchased paper ",175,311092,1,0
1426640,NF III Secaucus OP CP LLC,Residence Inn Secaucus,830847821,800 Plaza Drive,Secaucus,NJ,7094,721110," Hotels, resort, without casinos ",21,42000,2,0
1426641,Albany Industries,Albany Industries - New Albany,640858051,504 N Glenfield Road,New Albany,MS,38652,337121," Household-type furniture, upholstered, manufacturing ",285,535631,1,0
1426642,Green Valley Packing,Green Valley Packing Inc.,251262232,2992 Green Valley Road,Claysville,PA,15301,311612, Bologna made from purchased carcasses ,45,78279,1,0
1426643,Hosec Engineering Inc ,Hosec Engineering ,660672527,AVE Ponce de Leon 1563 Urb Dona Isa NO. 12,San Juan,PR,9262718,238210, Electrical contractors ,65,96958,2,0
1426644,Ogemaw County Road Commission,Ogemaw County Road Commission,383723840,1250 S. M-33 ,West Branch,MI,48661,237310, Road construction ,31,62005,1,0
1426645,Albany Industires,Albany Industries - Pontotoc,640858051,233 E Oxford St,Pontotoc,MS,38863,337121," Household-type furniture, upholstered, manufacturing ",82,144643,1,0
1426646,Albany Industries,Albany Industries - Seffner,640858051,11540 E US Hwy 92,Seffner,FL,33584,337121," Household-type furniture, upholstered, manufacturing ",58,109225,1,0
1426647,Fluid Systems Componets Inc,Fluid System Components Inc,,1700 Suburban Dr,De Pere,WI,54115,332912," Hydraulic hose fittings, fluid power, manufacturing ",90,179248,1,0
1426648,,"A.W. Therrien Co., Inc.",20232174,199 Hayward St.,Manchester,NH,3103,238160, Asphalt roof shingle installation ,30,53432,1,0
1426649,EckerTextiles LLC,ECKER TEXTILES LLC,862710767,322 Industrial Park Dr.,Lawrenceville,GA,30046,339940," Canvas, artist's, prepared on frames, manufacturing ",55,8246019,2,0
1426650,Snow Ridge Lumber,Snow Ridge Lumber,392037023,1200 Odanah Rd,Hurley,WI,54534,423310," Lumber (e.g., dressed, finished, rough) merchant wholesalers ",18,40041,1,0
1426651,Advanced Integrated Services,Advanced Integrated Services,371431851,4831  Grand River,Howell,MI,48855,237130, Communication tower construction ,24,45911,2,0
1426652,Equinox Terrace,Equinox Terrace,30335094,324 Equinox Terrace Road,Manchester Center,VT,5255,623312, Assisted-living facilities without on-site nursing care facilities ,43,76130,2,0
1426653,"Clark Contractors, Inc.","Clark Contractors, Inc.",251418797,"145 Clark Building Rd., Suite 7",BEDFORD,PA,15522,236220," Addition, alteration and renovation general contractors, commercial and institutional building ",72,145766,1,0
1426654,GEM Management LLC,GEM Management LLC,371834769,2021 Cross Beam Drive,Charlotte,NC,28217,531110," Building, apartment, rental or leasing ",212,609462,1,0
1426655,Norfolk Coating Services,Norfolk Coating Services LLC,,804 BERKLEY Ave. Extended,Chesapeake,VA,23324,336611, Ship repair done in a shipyard ,51,120721,1,0
1426656,,"AME, INC.",,2467 Coltharp Road,FORT MILL,SC,29715,236210," Addition, alteration and renovation, general contractors, industrial building (except warehouses) ",124,308600,1,0
1426657,"Myers Tractor Service, Inc",Highway 17,592924985,850683 Hwy 17,Yulee,FL,32097,484220," Agricultural products trucking, local ",38,72147,1,0
1426658,Holland Industrial,Holland Industrial,,518 W Montgomery St,Henderson,NC,27536,811310, Armature rewinding services (except on an assembly line or factory basis) ,35,770000,2,0
1426659,Belcher Roofing Corporation,Belcher Roofing Corporation,232293264,111 Commerce Drive,Montgomeryville,PA,18936,238160, Roof membrane installation ,81,129898,2,0
1426660,Uyemura International Corporation,UIC Technical Center,330538146,240 Town Line Road,Southington,CT,6489,424690, Industrial chemicals merchant wholesalers ,25,50000,2,0
1426661,Lyondellbasell,EBO Northbrook,,15000 n hwy 41,evansville,IN,47725,325991," Custom compounding (i.e., blending and mixing) of purchased plastics resins ",120,241355,2,0
1426662,Ranor Inc.,Ranor Inc.,,962 main st.,Jay,ME,4239,238220, Mechanical contractors ,55,119860,1,0
1426663,"Scott Lewis Gardening & Trimming, INC.","Scott Lewis Gardening & Trimming, INC.",592157145,514 14th Street,West Palm Beach,FL,33401,561730, Arborist services ,32,69215,2,0
1426664,"ABA Moving & Storage, Inc.","ABA Moving & Storage, Inc. dba Two Men and A Truck",844917313,2410 Air Park Rd.,N. Charleston,SC,29406,484210," Motor freight carrier, used household goods ",25,56462,1,0
1426665,Greyhound Bus Lines Inc.,Philadelphia Maintenance Center,,710 North Delaware Ave,Philadelphia,PA,19123,236220," Garage and service station, commercial, construction ",25,52000,1,0
1426666,"OAK RUN ASSOCIATES, LTD",OAK RUN ,592977066,10983 SW 89TH AVE,OCALA,FL,34481,236117," Custom builders, for-sale builders, single-family home ",94,56544,1,0
1426667,Kowalski Construction Inc.,Kowalski Construction Inc.,860412648,"2219 W Melinda Lane, Suite A",Phoenix,AZ,85027,236118," Fire and flood restoration, multifamily building, general contractors ",115,205474,1,0
1426668,CROWN JEWEL CLUB OPERATIONS,ROYAL OAKS,270989715,11220 SW 69TH CIRCLE,OCALA,FL,34476,713910, Golf and country clubs ,63,53896,2,0
1426669,MacLean-Fogg ,MacLean-Fogg Royal Oak,,3200 W 14 Mile Road,Royal Oak,MI,48073,332722," Nuts, metal, manufacturing ",150,290896,1,0
1426670,Addvantage Triton LLC,Addvantage Triton LLC,813651007,"2751 Commerce Center Way, Ste 400",Pembroke Park,FL,33023,517919,"VoIP service providers, using client-supplied telecommunications connections",31,55686,1,0
1426671,Fulton Technologies Inc,Fulton Technologies Inc,464862341,"1430 Bradley Ln, Ste. 196",Carrollton,TX,75007,237130, Cellular phone tower construction ,100,220940,1,0
1426672,"S&W Electrical Contractors, Inc.","S&W Electrical Contractors, Inc.",205028879,15 Scotland Blvd,Bridgewater,MA,2324,238210, Electrical contractors ,81,168480,1,0
1426673,"GROWMARK, Inc","GROWMARK, Inc Alpha DC",370815318,1695 US 150,Alpha,IL,61413,424910, Agricultural chemicals merchant wholesalers ,27,52000,2,0
1426674,"Ohio Semitronics, Inc.","Ohio Semitronics, Inc.",310683185,4242 Reynolds Drive,Hilliard,OH,43026,334515, Measuring equipment for electronic and electrical circuits and equipment manufacturing ,65,1669,2,0
1426675,LCB Senior Living,The Residence at Cedar Dell,464265724,628 Old Westport Road,Dartmouth,MA,2747,623110, Homes for the elderly with nursing care ,75,87631,1,0
1426676,"ICS, Inc.","ICS, Inc.",741750819,2802 FM 523,Oyster Creek,TX,77541,236210," Industrial building (except warehouses) construction, general contractors ",554,1267621,2,0
1426677,Fish Pond Surgery Center,Fish Pond Surgery Center,742901471,"601 W State Hwy 6, Suite 109",Waco,TX,76710,621493," Ambulatory surgical centers and clinics, freestanding ",46,85000,1,0
1426678,American Standard,American Standard,260887443,706 HWY 3057,Somerset,KY,42501,327390," Architectural wall panels, precast concrete, manufacturing ",33,74114,2,0
1426679,Truform,Truform Metalservice ,742009820,"13496 Pond springs rd, Po Box 202410",Austin,TX,78720,332322," Joists, sheet metal (except stampings), manufacturing ",97,154796,2,0
1426680,FIVE LAKES MANUFACTURING,FIVE LAKES MANUFACTURING,383154049,24400 CAPITAL BLVD,CLINTON TOWNSHIP,MI,48036,321911," Doors, wood and covered wood, manufacturing ",33,65556,1,0
1426681,SWEETWATER UTILITIES BOARD,SWEETWATER UTILITIES ,626000420,400 HWY 322 EAST,SWEETWATER,TN,37874,221122, Distribution of electric power ,53,91860,1,0
1426682,L3 Technologies,C3 ISR Services-OKC,340276860,5220 Flightline Dr,Oklahoma City,OK,73179,488190," Aircraft maintenance and repair services (except factory conversion, factory overhaul, factory rebuilding) ",61,137262,2,0
1426683,"TWIN LAKES NURSERY, INC",TWIN LAKES NURSERY,381847431,3680 MICHIGAN ST NE,GRAND RAPIDS,MI,49525,561730, Landscape installation services ,45,94801,1,0
1426684,Kuechle Underground Inc,Kuechle Underground Inc,411802736,10998 State Hwy 55,Kimball,MN,55353,237110," Utility line (i.e., sewer, water), construction ",45,88454,1,0
1426685,Bruce Woodmansee & Sons Construction Inc.,Bruce Woodmansee & Sons Construction Inc.,,311 Shehawken Road,Preston Park,PA,18455,238910, Excavation contractors ,22,36220,1,0
1426686,"Stewart Tubular Products, LLC","Stewart Tubular Products, LLC",814223145,5951 N. Houston Rosslyn Road,Houston,TX,77091,332996," Bends, pipe, made from purchased metal pipe ",64,153126,1,0
1426687,Southern Rebar & Supplies  ,Southern Rebar & supplies,830890207,4615 Coster RD,knoxville ,TN,37912,332312," Bars, concrete reinforcing, manufacturing ",25,58000,2,0
1426688,"Precision Feedscrews, Inc.","Precision Feedscrews, Inc.",251514161,373 Commerce Avenue,New Castle,PA,16101,332710, Machine shops ,24,51740,1,0
1426689,"Meadowlands Hospitality Partners, LLC",SpringHill Suites East Rutherford Meadolands/Carlstadt,831476612,192 Paterson Plank Rd,Carlstadt,NJ,7072,721110, Hotels (except casino hotels) ,25,33682,1,0
1426690,US Granite,US Granite,751721973,"2910 W Erwin, Tyler",Tyler,TX,75702,327991," Architectural sculptures, stone, manufacturing ",14,28623,2,0
1426691,"R & J Cylinder and Machine, Inc.","R & J Cylinder and Machine, Inc.",382932196,464 Robinson Dr. S.E.,New Philadelphia,OH,44663,333995," Hydraulic cylinders, fluid power, manufacturing ",85,148739,1,0
1426692,"Driscoll Electric Co., Inc.","Driscoll Electric Co., Inc.",571146359,83 Newbern Ave,Medford,MA,2155,238210, Electrical wiring contractors ,63,118405,1,0
1426693,"D&B Thermal Company, Inc.","D&B Thermal Company, Inc.",232894208,1739 Pottstown Pike,Glenmoore,PA,19343,238310, Building insulation contractors ,20,29757,1,0
1426694,Battle Creek Farmers Cooperative,Farmers Pride - Battle Creek,470100590,83755 Hwy 121,Battle Creek,NE,68715,115112, Fertilizer application for crops ,26,55183,2,0
1426695,COLONIAL MILLWORKS LTD,"Colonial Millworks, Ltd.",550684563,po box 436,Beverly,WV,26253,321918," Cornices, wood, manufacturing ",86,120633,1,0
1426696,DRM Industries Corp,DRM Industries Corp,391487285,231 W. Adams St.,Lake Delton,WI,53940,333120," Crushing machinery, portable, manufacturing ",31,66895,1,0
1426697,Northern Oilfield Services,Northern Oilfield Services,,1637 44th St West,Williston,ND,58801,213112, Servicing oil and gas wells on a contract basis ,1,46797,2,0
1426698,"Quest Industries, Inc.","Quest Industries, Inc.",383590982,3309 John Conley Drive,Lapeer,MI,48446,332721, Precision turned product manufacturing ,60,162240,1,0
1426699,Litex Industries,Woodard,751697137,210 S. Delaney Road,Owosso,MI,48867,337124," Lawn furniture, metal, manufacturing ",186,366277,1,0
1426700,,Scott County Community Sheltered Workshop,,515 North West St.,Sikeston,MO,63801,624310," Sheltered workshops (i.e., work experience centers) ",52,88600,1,0
