Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Authors,Description,Categories,Page Count,Published Date
"Collins, Orlagh",All the Invisible Things,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Orlagh Collins,"In this contemporary YA for fans of Becky Albertalli, one girl decides it's time to be really be herself--but will that cost her the best friend who once meant everything to her? Ever since her mom died and her family moved to a new town four years ago, sixteen-year-old Vetty Lake has hidden her heart. She'd rather keep secrets than risk getting hurt--even if that means not telling anyone that she's pretty sure she's bisexual. But this summer, everything could change. Vetty and her family are moving back to her old neighborhood, right across the street from her childhood best friend Pez. Next to Pez, she always felt free and fearless. Reconnecting with him could be the link she needs to get back to her old self. Vetty quickly discovers Pez isn't exactly the boy she once knew. He has a new group of friends, a glamorous sort-of-girlfriend named March, and a laptop full of secrets. And things get even more complicated when she feels a sudden spark with March. As Vetty navigates her relationship with Pez and her own shifting feelings, one question looms: Does becoming the girl she longs to be mean losing the friendship that once was everything to her?",Young Adult Fiction,288,2020-03-03
"Conley, Garrard","Boy Erased: A Memoir of Identity, Faith, and Family",Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Garrard Conley,"The New York Times bestselling memoir about identity, love and understanding. Now a major motion picture starring Nicole Kidman, Russell Crowe, and Lucas Hedges, directed by Joel Edgerton. ""Every sentence of the story will stir your soul"" (O Magazine). The son of a Baptist pastor and deeply embedded in church life in small town Arkansas, as a young man Garrard Conley was terrified and conflicted about his sexuality. When Garrard was a nineteen-year-old college student, he was outed to his parents, and was forced to make a life-changing decision: either agree to attend a church-supported conversion therapy program that promised to “cure” him of homosexuality; or risk losing family, friends, and the God he had prayed to every day of his life. Through an institutionalized Twelve-Step Program heavy on Bible study, he was supposed to emerge heterosexual, ex-gay, cleansed of impure urges and stronger in his faith in God for his brush with sin. Instead, even when faced with a harrowing and brutal journey, Garrard found the strength and understanding to break out in search of his true self and forgiveness. By confronting his buried past and the burden of a life lived in shadow, Garrard traces the complex relationships among family, faith, and community. At times heart-breaking, at times triumphant, this memoir is a testament to love that survives despite all odds.",Biography & Autobiography,354,2016-05-10
"Connor, Leslie",A Home for Goddesses and Dogs,Banned in Libraries,,,,Texas,North East Independent School District,Dec-21,Administrator,Leslie Connor,"A unique masterpiece about loss, love, and the world’s best bad dog, from award winner Leslie Connor, author of the National Book Award finalist The Truth as Told by Mason Buttle. This novel sings about loss and love and finding joy in new friendships and a loving family, along with the world’s best bad dog. An uplifting middle grade novel about recovery featuring strong female characters, an adorable dog, and the girl who comes to love him. It’s a life-altering New Year for thirteen-year-old Lydia when she uproots to a Connecticut farm to live with her aunt following her mother’s death. Aunt Brat and her jovial wife, Eileen, and their ancient live-in landlord, Elloroy, are welcoming—and a little quirky. Lydia’s struggle for a sense of belonging in her new family is highlighted when the women adopt a big yellow dog just days after the girl’s arrival. Wasn’t one rescue enough? Lydia is not a dog person—and this one is trouble! He is mistrustful and slinky. He pees in the house, escapes into the woods, and barks at things unseen. His new owners begin to guess about his unknown past. Meanwhile, Lydia doesn’t want to be difficult—and she does not mean to keep secrets—but there are things she’s not telling... Like why the box of “paper stuff” she keeps under her bed is so important... And why that hole in the wall behind a poster in her room is getting bigger... And why something she took from the big yellow dog just might be the key to unraveling his mysterious past—but at what cost? * Junior Library Guild Selection *",Juvenile Fiction,313,2020-02-25
"Connors, Kathleen",The Life of Rosa Parks (Famous Lives Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,Jan-22,Administrator,Kathleen Connors,"Known as the mother of the civil rights movement, Rosa Parks took a small stance that made a big impact. Just by sitting in a bus seat, she inspired thousands of black Americans to boycott buses altogether. Readers will be introduced to Rosa Parks and the civil rights movement through the details of her biography and the great change brought about by her actions. Historical photographs engage readers further, transporting them back to one of the most troubling times in American history, and a helpful timeline summarizes important events in Rosa's life.",Biography & Autobiography,26,2013-12-30
"Constantine, Alysia",Short Stuff: A Young Adult LGBTQ+ Anthology,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Various Authors,"This is the inaugural book of original short stories created by the students in AP Literature and Composition at Irma Rangel Young Women's Leadership School. The stories written fall into various genres, such as: historical fiction, suspense, science fiction, horror, romance, mystery, ect... The students created their own worlds in which their characters inhabit. The conflicts they face, the lessons they learn, and the relationships they create are as unique as the student who wrote them.",Fiction,230,2018-04-09
"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Banned Pending Investigation,,"Cornell, Alexis",,Tennessee,Collierville Schools,Feb-22,Administrator,Maria Cook,"Timeline -- Important people -- Introduction: What is gender identity? -- Early gender pioneers -- The birth of a movement -- Challenges and changes -- Violence and progress in the 1990s -- A new century of connection -- Gender identity in popular media -- The ""new"" revolution",Young Adult Nonfiction,0,2019
"Cook, Maria",Gender Identity: Beyond Pronouns and Bathrooms,Banned in Libraries and Classrooms,,"Cornell, Alexis",,Texas,Prosper Independent School District,Mar-22,Administrator,Maria Cook,"Timeline -- Important people -- Introduction: What is gender identity? -- Early gender pioneers -- The birth of a movement -- Challenges and changes -- Violence and progress in the 1990s -- A new century of connection -- Gender identity in popular media -- The ""new"" revolution",Young Adult Nonfiction,0,2019
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Fredericksburg Independent School District,Mar-22,Administrator,"Trish Cook, Brendan Halpin","Declan loves death metal—particularly from Finland. And video games—violent ones. And internet porn—any kind, really. He goes to school with Neilly Foster and spends most of his classroom time wondering what it might be like to know her, to talk to her, maybe even to graze against her sweater in the hallway. Neilly is an accomplished gymnast, naturally beautiful, and a constant presence at all the best parties (to which Declan is never invited). She's the queen of cool, the princess of poker face, and her rule is uncontested—or it was until today, when she's dumped by her boyfriend, betrayed by her former BFF Lulu, and then informed she's getting a new brother—of the freaky fellow classmate variety. Declan's dad is marrying Neilly's mom. Soon. Which means they'll be moving in together.",Young Adult Fiction,185,2011-01-01
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Granbury Independent School District,Jan-22,Administrator,"Trish Cook, Brendan Halpin","Declan loves death metal—particularly from Finland. And video games—violent ones. And internet porn—any kind, really. He goes to school with Neilly Foster and spends most of his classroom time wondering what it might be like to know her, to talk to her, maybe even to graze against her sweater in the hallway. Neilly is an accomplished gymnast, naturally beautiful, and a constant presence at all the best parties (to which Declan is never invited). She's the queen of cool, the princess of poker face, and her rule is uncontested—or it was until today, when she's dumped by her boyfriend, betrayed by her former BFF Lulu, and then informed she's getting a new brother—of the freaky fellow classmate variety. Declan's dad is marrying Neilly's mom. Soon. Which means they'll be moving in together.",Young Adult Fiction,185,2011-01-01
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,"Halpin, Brendan",,,Texas,North East Independent School District,Dec-21,Administrator,"Trish Cook, Brendan Halpin","Declan loves death metal—particularly from Finland. And video games—violent ones. And internet porn—any kind, really. He goes to school with Neilly Foster and spends most of his classroom time wondering what it might be like to know her, to talk to her, maybe even to graze against her sweater in the hallway. Neilly is an accomplished gymnast, naturally beautiful, and a constant presence at all the best parties (to which Declan is never invited). She's the queen of cool, the princess of poker face, and her rule is uncontested—or it was until today, when she's dumped by her boyfriend, betrayed by her former BFF Lulu, and then informed she's getting a new brother—of the freaky fellow classmate variety. Declan's dad is marrying Neilly's mom. Soon. Which means they'll be moving in together.",Young Adult Fiction,185,2011-01-01
"Cooke, Trish","Full, Full, Full of Love",Banned in Classrooms,,"Howard, Paul",,Pennsylvania,Central York School District,Aug-21,Administrator,Trish Cooke,"Warm illustrations spice up this rhythmical ode to the joys of family and food — full, full, full of pleasures. For the youngest member of an exuberant extended family, Sunday dinner at Grannie’s can be full indeed — full of hugs and kisses, full of tasty dishes, full to the brim with happy faces, and full, full, full of love. With a special focus on the bond between little Jay Jay and his grannie, Trish Cooke introduces us to a gregarious family we are sure to want more, more, more of.",Juvenile Fiction,31,2022-02-01
"Cooper, Floyd",Max and the Tag-Along Moon,Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,Floyd Cooper,"Saying good-bye after a visit with his beloved grandfather who reminds him that they both live under the same moon, young Max is astonished to observe the moon following him home and is comforted by the knowledge that the moon will always shine above",N/A,32,2015-05
"Córdova, Zoraida",Bruja Born (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Zoraida Córdova,"Next in the Brooklyn Brujas series of fantasy novels that follow three witch born sisters as they develop their powers and battle magic in their hometown and the worlds beyond, from the author of The Inheritance of Orquídea Divina. Lula must let go of the ghosts of her past to face the actual living dead of her present. Lula Mortiz feels like an outsider. Her sister's newfound Encantrix powers have wounded her in ways that Lula's bruja healing powers can't fix, and she longs for the comfort her family once brought her. Thank the Deos for Maks, her sweet, steady boyfriend who sees the beauty within her and brings light to her life. Then a bus crash turns Lula's world upside down. Her classmates are all dead, including Maks. But Lula was born to heal, to fix. She can bring Maks back, even if it means seeking help from her sisters and defying Death herself. But magic that defies the laws of the deos is dangerous. Unpredictable. And when the dust settles, Maks isn't the only one who's been brought back... ""Cordova keeps the flame on high... Fantasy and zombie fans looking for flavor—organ-meat, in particular—will not be disappointed."" —New York Times Book Review Brooklyn Brujas Series: Labyrinth Lost (Book 1): Alex's story—set in the mythical fantasy world of Los Lagos Bruja Born (Book 2): Lula's story—urban fantasy set on the streets of Brooklyn Wayward Witch (Book 3): Rose's story—set in the magical lost realm of Adas Perfect for fans of: Zombie books Epic fantasy quests Latinx books Paranormal fiction Witch books Sister book series",Young Adult Fiction,310,2018-06-05
"Córdova, Zoraida",Labyrinth Lost (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Zoraida Córdova,"The first book in the Latinx-infused Queer fantasy series from Zoraida Córdova, highly acclaimed author of The Inheritance of Orquídea Divina, that follows three sisters—and teen witches—as they develop their powers and battle magic through epic questing in the realms beyond. Alex is a bruja and the most powerful witch in her family. But she's hated magic ever since it made her father disappear into thin air. So while most girls celebrate their Quinceañera, Alex prepares for her Deathday—the most important day in a bruja's life and her only opportunity to rid herself of magic. But the curse she performs during the ceremony backfires, and her family vanishes, forcing Alex to absorb all of the magic from her family line. Left alone, Alex seeks help from Nova, a brujo with ambitions of his own. To get her family back they must travel to Los Lagos, a land in-between, as dark as Limbo and as strange as Wonderland. And while she's there, what she discovers about herself, her powers, and her family, will change everything... Brooklyn Brujas Series: Labyrinth Lost (Book 1): Alex's story—set in the mythical fantasy world of Los Lagos Bruja Born (Book 2): Lula's story—urban fantasy set on the streets of Brooklyn Wayward Witch (Book 3): Rose's story—set in the magical lost realm of Adas Perfect for fans of: Teen LGBTQ books Latin American fiction Witch books Myths & legends Dark fantasy quests Praise for Labryinth Lost: An NPR Best Young Adult Book of 2016 Tor.com's Best YA SFF of 2016 A Bustle Best Book of 2016 Selection A Paste Magazine Best Books of 2016 ""[Labyrinth Lost] kicked off...an incredible rise of non-hetero hexing.""—Dahlia Adler, Tor.com ""A richly Latin American, giddily exciting novel.""—New York Times Book Review ""A brilliant brown-girl-in-Brooklyn update on Alice in Wonderland and Dante's Inferno. Very creepy, very magical, very necessary.""—Janiel Jose Older, New York Times bestselling author of Shadowshaper",Young Adult Fiction,309,2016-09-06
"Córdova, Zoraida",Wayward Witch (Brooklyn Brujas Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Zoraida Córdova,"From the author of The Inheritance of Orquídea Divina: The witches of New York are back! In the epic conclusion to the award-winning series, the final Mortiz sister's story is told. Infused with Latin American tradition—the Brooklyn Brujas series follows three sisters—and brujas—as they develop their powers and battle magic in their hometown and worlds beyond. Rose Mortiz has always been a fixer, but lately she's been feeling lost. She has brand new powers that she doesn't understand, and her family is still trying to figure out how to function in the wake of her amnesiac father's return home. Then, on the night of her Deathday party, Rose discovers her father's memory loss has been a lie. As she rushes to his side, the two are ambushed and pulled through a portal to the land of Adas, a fairy realm hidden in the Caribbean Sea. There Rose is forced to work with a group of others to save Adas. Soon, she begins to discover the scope of her powers, the troubling truth about her father's past, and the sacrifices he made to save her sisters. But if Rose wants to return home so that she can repair her broken family, she must figure out how to heal Adas first. Brooklyn Brujas Series: Labyrinth Lost (Book 1): Alex's story—set in the mythical fantasy world of Los Lagos Bruja Born (Book 2): Lula's story—urban fantasy set on the streets of Brooklyn Wayward Witch (Book 3): Rose's story—set in the magical fairy realm of Adas Perfect for those looking for: A fantasy witch series Latinx books Dark fairy tales Young adult fantasy Books about sisters",Young Adult Fiction,275,2020-09-01
"Córdova, Zoraida",Wayward Witch (Brooklyn Brujas Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Zoraida Córdova,"From the author of The Inheritance of Orquídea Divina: The witches of New York are back! In the epic conclusion to the award-winning series, the final Mortiz sister's story is told. Infused with Latin American tradition—the Brooklyn Brujas series follows three sisters—and brujas—as they develop their powers and battle magic in their hometown and worlds beyond. Rose Mortiz has always been a fixer, but lately she's been feeling lost. She has brand new powers that she doesn't understand, and her family is still trying to figure out how to function in the wake of her amnesiac father's return home. Then, on the night of her Deathday party, Rose discovers her father's memory loss has been a lie. As she rushes to his side, the two are ambushed and pulled through a portal to the land of Adas, a fairy realm hidden in the Caribbean Sea. There Rose is forced to work with a group of others to save Adas. Soon, she begins to discover the scope of her powers, the troubling truth about her father's past, and the sacrifices he made to save her sisters. But if Rose wants to return home so that she can repair her broken family, she must figure out how to heal Adas first. Brooklyn Brujas Series: Labyrinth Lost (Book 1): Alex's story—set in the mythical fantasy world of Los Lagos Bruja Born (Book 2): Lula's story—urban fantasy set on the streets of Brooklyn Wayward Witch (Book 3): Rose's story—set in the magical fairy realm of Adas Perfect for those looking for: A fantasy witch series Latinx books Dark fairy tales Young adult fantasy Books about sisters",Young Adult Fiction,275,2020-09-01
"Corey, Shana",Malala: A Hero for All (Step into Reading Series),Banned Pending Investigation,,"Sayles, Elizabeth",,Florida,Duval County Public Schools,Jan-22,Administrator,Shana Corey,"This Step 4 Biography Reader shares the inspiring story of Malala Yousafzai, the youngest recipient of the Nobel Peace Prize. Even as a young girl in Pakistan, Malala spoke up about the importance of girls’ education, via speeches and a blog. Since the Taliban regime was intent on denying girls an education and silencing anyone who disagreed with their laws, this was very dangerous. Malala was shot, but she survived the attack and it did not silence her. In fact, she spoke at the United Nations on her sixteenth birthday, just nine months after she was shot. Malala’s resolve has only magnified her voice, delivering her message of human rights to millions of people. Step 4 Readers use challenging vocabulary and short paragraphs to tell exciting stories. For newly independent readers who read simple sentences with confidence.",Juvenile Nonfiction,50,2016-01-12
"Corinna, Heather",S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,Banned Pending Investigation,,,,Florida,Walton County School District,Apr-22,Administrator,Heather Corinna,"A guide to sexuality for high school and college students discusses male and female anatomy, orientation and sexual identity, relationships, safe sex, abuse and rape, pregnancy and contraception, and sexually-transmitted diseases.",Health & Fitness,354,2007-05-04
"Corinna, Heather","Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Banned Pending Investigation,,"Rotman, Isabella; Howard, Luke B.",,Florida,Walton County School District,Apr-22,Administrator,"Heather Corinna, Isabella Rotman","From Heather Corinna, founder and director of Scarleteen.com, and Isabella Rotman, cartoonist and sex educator, comes a graphic novel guide that covers essential topics for preteens and young teens about their changing bodies and feelings.",Grapic novels,75,2019
"Cornwall, Gaia",Jabari Jumps (Jabari Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,Gaia Cornwall,"Working up the courage to take a big, important leap is hard, but Jabari is almost absolutely ready to make a giant splash. Jabari is definitely ready to jump off the diving board. He’s finished his swimming lessons and passed his swim test, and he’s a great jumper, so he’s not scared at all. “Looks easy,” says Jabari, watching the other kids take their turns. But when his dad squeezes his hand, Jabari squeezes back. He needs to figure out what kind of special jump to do anyway, and he should probably do some stretches before climbing up onto the diving board. In a sweetly appealing tale of overcoming your fears, newcomer Gaia Cornwall captures a moment between a patient and encouraging father and a determined little boy you can’t help but root for.",Juvenile Fiction,35,2020-10-06
"Cosson, M. J.",A Dream Come True: Coming to America from Vietnam-1975,Banned Pending Investigation,,,,Florida,Duval County Public Schools,Jan-22,Administrator,M. J. Cosson,"Cammy's family helps their adopted daughter learn about Vietnam, the country where she was born.",N/A,0,2000
"Cotugno, Katie",How to Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,Thich Nhat Hanh,"Thich Nhat Hanh shares timeless wisdom and mindfulness meditation practices in this pocket-sized, illustrated guide about cherishing the many ways love manifests in our lives. How to Love is the third title in Thich Nhat Hanh’s series of mindfulness books for beginners and seasoned practitioners. This time, he brings his signature clarity, compassion, and humor to the thorny question of how to love. He distills one of our strongest emotions down to 4 essentials: • You can only love another when you feel true love for yourself • Love is understanding • Understanding brings compassion • Deep listening and loving speech are key ways of showing our love How to Love shows that when we feel closer to our loved ones, we are also more connected to the world as a whole. Thich Nhat Hanh applies this timeless wisdom to the core areas and relationships of our lives, including: • Love vs. Need • Being in Love • Reverence • Intimacy • Children and Family • Reconciling with Parents With meditations you can do alone or with your partner, How to Love is a unique gift for those who want a comprehensive yet simple guide to understanding the many different kinds of love, perfect for those practicing in any spiritual tradition, whether seasoned practitioners or new to meditation.",Family & Relationships,116,2014-12-01
"Cotugno, Katie",How to Love,Banned in Libraries,,,,Texas,North East Independent School District,Dec-21,Administrator,Thich Nhat Hanh,"Thich Nhat Hanh shares timeless wisdom and mindfulness meditation practices in this pocket-sized, illustrated guide about cherishing the many ways love manifests in our lives. How to Love is the third title in Thich Nhat Hanh’s series of mindfulness books for beginners and seasoned practitioners. This time, he brings his signature clarity, compassion, and humor to the thorny question of how to love. He distills one of our strongest emotions down to 4 essentials: • You can only love another when you feel true love for yourself • Love is understanding • Understanding brings compassion • Deep listening and loving speech are key ways of showing our love How to Love shows that when we feel closer to our loved ones, we are also more connected to the world as a whole. Thich Nhat Hanh applies this timeless wisdom to the core areas and relationships of our lives, including: • Love vs. Need • Being in Love • Reverence • Intimacy • Children and Family • Reconciling with Parents With meditations you can do alone or with your partner, How to Love is a unique gift for those who want a comprehensive yet simple guide to understanding the many different kinds of love, perfect for those practicing in any spiritual tradition, whether seasoned practitioners or new to meditation.",Family & Relationships,116,2014-12-01
"Couch, Robbie",The Sky Blues,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Robbie Couch,"Seventeen-year-old Sky, openly gay but under the radar, decides to make a splashy Promposal but his plans are leaked by an anonymous, homophobic hacker, moving his classmates to help him expose the perpetrator.",Juvenile Fiction,352,2022-08-02
"Coulson, Art",Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army (Encounter: Narrative Nonfiction Picture Books Series),Banned Pending Investigation,,"Hardcastle, Nick",,Florida,Duval County Public Schools,Jan-22,Administrator,Art Coulson,Series statement from publisher's website.,Juvenile Nonfiction,41,2018
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Audrey Coulthurst,"An atmospheric and romantic debut fantasy perfect for fans of Ash and The Winner’s Curse. Betrothed since childhood to the prince of Mynaria, Princess Dennaleia has always known what her future holds. Her marriage will seal the alliance between Mynaria and her homeland, protecting her people from other hostile kingdoms. But Denna has a secret. She possesses an Affinity for fire—a dangerous gift for the future queen of a land where magic is forbidden. Now Denna has to learn the ways of her new kingdom while trying to hide her growing magic. To make matters worse, she must learn to ride Mynaria’s formidable warhorses before her coronation—and her teacher is the person who intimidates her most, the prickly and unconventional Princess Amaranthine, sister of her betrothed. When a shocking assassination leaves the kingdom reeling, Mare and Denna reluctantly join forces to search for the culprit. As the two work together, they discover there is more to one another than they thought—and soon their friendship is threatening to blossom into something more. But with dangerous conflict brewing that makes the alliance more important than ever, acting on their feelings could be deadly. Forced to choose between their duty and their hearts, Mare and Denna must find a way to save their kingdoms—and each other. Plus don't miss the sequel: Of Ice and Shadows!",Young Adult Fiction,296,2016-11-22
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,Audrey Coulthurst,"An atmospheric and romantic debut fantasy perfect for fans of Ash and The Winner’s Curse. Betrothed since childhood to the prince of Mynaria, Princess Dennaleia has always known what her future holds. Her marriage will seal the alliance between Mynaria and her homeland, protecting her people from other hostile kingdoms. But Denna has a secret. She possesses an Affinity for fire—a dangerous gift for the future queen of a land where magic is forbidden. Now Denna has to learn the ways of her new kingdom while trying to hide her growing magic. To make matters worse, she must learn to ride Mynaria’s formidable warhorses before her coronation—and her teacher is the person who intimidates her most, the prickly and unconventional Princess Amaranthine, sister of her betrothed. When a shocking assassination leaves the kingdom reeling, Mare and Denna reluctantly join forces to search for the culprit. As the two work together, they discover there is more to one another than they thought—and soon their friendship is threatening to blossom into something more. But with dangerous conflict brewing that makes the alliance more important than ever, acting on their feelings could be deadly. Forced to choose between their duty and their hearts, Mare and Denna must find a way to save their kingdoms—and each other. Plus don't miss the sequel: Of Ice and Shadows!",Young Adult Fiction,296,2016-11-22
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Audrey Coulthurst,"An atmospheric and romantic debut fantasy perfect for fans of Ash and The Winner’s Curse. Betrothed since childhood to the prince of Mynaria, Princess Dennaleia has always known what her future holds. Her marriage will seal the alliance between Mynaria and her homeland, protecting her people from other hostile kingdoms. But Denna has a secret. She possesses an Affinity for fire—a dangerous gift for the future queen of a land where magic is forbidden. Now Denna has to learn the ways of her new kingdom while trying to hide her growing magic. To make matters worse, she must learn to ride Mynaria’s formidable warhorses before her coronation—and her teacher is the person who intimidates her most, the prickly and unconventional Princess Amaranthine, sister of her betrothed. When a shocking assassination leaves the kingdom reeling, Mare and Denna reluctantly join forces to search for the culprit. As the two work together, they discover there is more to one another than they thought—and soon their friendship is threatening to blossom into something more. But with dangerous conflict brewing that makes the alliance more important than ever, acting on their feelings could be deadly. Forced to choose between their duty and their hearts, Mare and Denna must find a way to save their kingdoms—and each other. Plus don't miss the sequel: Of Ice and Shadows!",Young Adult Fiction,296,2016-11-22
"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Audrey Coulthurst,"The long-awaited sequel to the acclaimed YA fantasy Of Fire and Stars! Mare and Denna travel to a new and dangerous kingdom where Denna will be trained to tame her magic by a mysterious queen who is not all she seems. Perfect for fans of Malinda Lo and Kristin Cashore. Princesses Denna and Mare are in love and together at last—only to face a new set of dangers. Mare just wants to settle down with the girl she loves, which would be easier if Denna weren’t gifted with forbidden and volatile fire magic. Denna must learn to control her powers, which means traveling in secret to the kingdom of Zumorda, where she can seek training without fear of persecution. Determined to help, Mare has agreed to serve as an ambassador as a cover for their journey. But just as Mare and Denna arrive in Zumorda, an attack on a border town in Mynaria changes everything. Mare’s diplomatic mission is now urgent: she must quickly broker an alliance with the queen of Zumorda to protect her homeland. However, the queen has no interest in allying with other kingdoms; it’s Denna’s untamed but powerful magic that catches her eye. The queen offers Denna a place among her elite trainees—an opportunity that would force her to choose between her magic and Mare. As Denna’s powers grow stronger, Mare struggles to be the ambassador her kingdom needs. By making unconventional friends, her knowledge of Zumorda and its people grow, and so too do her suspicions about who is truly behind the attacks on Zumorda and her homeland. As rising tensions and unexpected betrayals put Mare and Denna in jeopardy and dangerous enemies emerge on all sides, can they protect their love and save their kingdoms?",Young Adult Fiction,428,2019-08-13
"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Audrey Coulthurst,"The long-awaited sequel to the acclaimed YA fantasy Of Fire and Stars! Mare and Denna travel to a new and dangerous kingdom where Denna will be trained to tame her magic by a mysterious queen who is not all she seems. Perfect for fans of Malinda Lo and Kristin Cashore. Princesses Denna and Mare are in love and together at last—only to face a new set of dangers. Mare just wants to settle down with the girl she loves, which would be easier if Denna weren’t gifted with forbidden and volatile fire magic. Denna must learn to control her powers, which means traveling in secret to the kingdom of Zumorda, where she can seek training without fear of persecution. Determined to help, Mare has agreed to serve as an ambassador as a cover for their journey. But just as Mare and Denna arrive in Zumorda, an attack on a border town in Mynaria changes everything. Mare’s diplomatic mission is now urgent: she must quickly broker an alliance with the queen of Zumorda to protect her homeland. However, the queen has no interest in allying with other kingdoms; it’s Denna’s untamed but powerful magic that catches her eye. The queen offers Denna a place among her elite trainees—an opportunity that would force her to choose between her magic and Mare. As Denna’s powers grow stronger, Mare struggles to be the ambassador her kingdom needs. By making unconventional friends, her knowledge of Zumorda and its people grow, and so too do her suspicions about who is truly behind the attacks on Zumorda and her homeland. As rising tensions and unexpected betrayals put Mare and Denna in jeopardy and dangerous enemies emerge on all sides, can they protect their love and save their kingdoms?",Young Adult Fiction,428,2019-08-13
"Cox, Judy",My Family Plays Music,Banned in Classrooms,,"Brown, Elbrite",,Pennsylvania,Central York School District,Aug-21,Administrator,Judy Cox,"A young girl tries out different genres and instruments in this exuberant celebration of music, winner of the Coretta Scott King New Talent Award--now available in a special anniversary edition. This is my family. We all love music, begins a young percussionist. When she plays with her father, a cellist, she taps the triangle. With her sister's marching band, she crashes cymbals together. At her aunt's jazz show, she taps a woodblock. Elbrite Brown's lively cut-paper illustrations, for which he was awarded the Coretta Scott King New Talent Award, depict this diverse, joyous family dancing, strumming, drumming and fiddling their way through a tour of major musical styles--everything from classical string quartets, to rock and roll, to the youngest niece banging on pots and pans. They love music--and most of all, they love to celebrate and play it together. Includes a glossary covering types of music and instruments mentioned.",Juvenile Fiction,34,2018-11-20
"Craft, Jerry",Class Act,Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,N/A,N/A,N/A,0,1989
"Craft, Jerry",Class Act,Banned in Libraries,,,,Texas,Katy Independent School District,Sep-21,Administrator,N/A,N/A,N/A,0,1989
"Craft, Jerry",Class Act,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,N/A,N/A,N/A,0,1989
"Craft, Jerry",New Kid,Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,Jerry Craft,"Winner of the Newbery Medal, Coretta Scott King Author Award, and Kirkus Prize for Young Readers’ Literature! Perfect for fans of Raina Telgemeier and Gene Luen Yang, New Kid is a timely, honest graphic novel about starting over at a new school where diversity is low and the struggle to fit in is real, from award-winning author-illustrator Jerry Craft. Seventh grader Jordan Banks loves nothing more than drawing cartoons about his life. But instead of sending him to the art school of his dreams, his parents enroll him in a prestigious private school known for its academics, where Jordan is one of the few kids of color in his entire grade. As he makes the daily trip from his Washington Heights apartment to the upscale Riverdale Academy Day School, Jordan soon finds himself torn between two worlds—and not really fitting into either one. Can Jordan learn to navigate his new school culture while keeping his neighborhood friends and staying true to himself? This middle grade graphic novel is an excellent choice for tween readers, including for summer reading. New Kid is a selection of the Schomburg Center's Black Liberation Reading List. Plus don't miss Jerry Craft's Class Act!",Juvenile Fiction,260,2019-02-05
